YEAR,PERIOD,LINE,BLOCK,PLOT,TREATMENT,EXCLUSION,ADDITION,DIAC,DITE,PANO,POPR,PIGR,CROPT,CROTON,CHRYOP,SOLID,ANDRO,DICHANTH,ACGR,AGAC,AGALINIS,ASTER2,BLACKBERRY,BLUE,CARA,CAREX,CHFA,CHLA,CRGL,DESMODIUM,DEWBERRY,ELTO,ERIG,EUHY,UNK_FAB1,UNK_FAB2,FALLOPIA,UNK_3,GNAPU,HYGE,JUNCUS,KRVI,LECU,LEHI,LIATRIS,LINAR,LOJA,OPUNT,OXALIS,PANIC,PINE,PLANTAG,POGRA,POSI,QUERCUS,RHTY,RUBIACEAE,SISYR,SMBO,SMRO,STBI,SYMPH,TORA2,UNK_1,UNK_4
2020,PRE,1,37,1,CC,CAGED,CARRION,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020,PRE,1,37,2,OP,OPEN,PROPAGULE,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,PRE,1,37,3,OS,OPEN,SCAT,35,7,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020,PRE,1,37,4,OC,OPEN,CARRION,3,0,0,0,6,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020,PRE,1,37,5,CS,CAGED,SCAT,10,0,2,0,7,0,0,7,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,PRE,1,37,6,CP,CAGED,PROPAGULE,9,0,2,0,4,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,PRE,1,37,7,REF,NONE,NONE,3,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,PRE,1,11,1,OP,OPEN,PROPAGULE,10,0,1,2,0,0,1,0,1,2,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,PRE,1,11,2,CP,CAGED,PROPAGULE,21,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020,PRE,1,11,3,OS,OPEN,SCAT,10,0,0,9,1,0,0,10,6,0,1,1,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
